topic;words;themes;category;primitives
20;"['duur' 'melkvee' 'kaas' 'melk' 'thans' 'aardappels' 'biggen' 'trouwens'
 'goedkoop' 'daardoor' 'zoort' 'varkens' 'hooi' 'vee' 'markt' 'kalvers'
 'daarvan' 'maar' 'krijgen' 'dalend' 'kalven' 'staan' 'goed' 'koejen'
 'echter' 'weinig' 'vooral' 'week' 'duurder' 'eigen' 'melken' 'melke'
 'gld' 'guld' 'zeug' 'schaarsheid' 'muizen' 'steeds' 'ld' 'voorraad'
 'gemaak' 'genoegzaam' 'daarom' 'doorgaans' 'overvloedig' 'stuks'
 'jongvee' 'uitmuntend' 'tothiertoe' 'oorzaak']";20. Agriculture and cattle;6;871
21;"['brijngen' 'tijdijnge' 'spaingien' 'wonsdach' 'daten' 'vranckerijcke'
 'gunierde' 'marseren' 'brochten' 'ambasadeur' 'inhaut' 'sauden'
 'dijsendach' 'dewelcke' 'etca' 'saude' 'vuijt' 'bruijssel' 'cavalerije'
 'proventien' 'daegelicx' 'maendach' 'commen' 'maecken' 'aecken'
 'diveersche' 'daeraf' 'daermede' 'seght' 'stilstant' 'eta' 'datmen'
 'aeth' 'eenich' 'fransche' 'parlament' 'connen' 'wesen' 'ligue'
 'ambasadeurs' 'eenighe' 'oock' 'expressen' 'anden' 'alsoo' 'ghearriveert'
 'saterdach' 'verstercken' 'spaensche' 'meije']";21. Political events and diplomacy;8;847
22;"['brug' 'gemaakt' 'bestraat' 'verstraat' 'paalen' 'ooster' 'muur'
 'besteed' 'strekkende' 'straat' 'lantaarn' 'gat' 'ketting' 'westerpoort'
 'afgebrooken' 'palen' 'lengte' 'werk' 'havens' 'kade' 'vaart' 'overtoom'
 'wester' 'breed' 'noordzijde' 'steeg' 'staande' 'haven' 'houte' 'vest'
 'geplaatst' 'werd' 'poort' 'aande' 'paal' 'paalwerk' 'cingel' 'eiland'
 'buiten' 'steene' 'gemak' 'bruggen' 'kuijl' 'dijk' 'dwars' 'genaamt'
 'zuijdzijde' 'zomer' 'toorn' 'tijd']";22. Construction and infrastructure;5;845
23;"['jnt' 'upden' 'jnden' 'jnde' 'upde' 'jnne' 'jn' 'up' 'ooc' 'daerup'
 'dwelc' 'ougste' 'steerck' 'uuyt' 'elc' 'keercke' 'gheweest' 'qualic'
 'tsente' 'sente' 'ghelijc' 'werdene' 'causen' 'hemlien' 'thebben'
 'ghenaemt' 'keercken' 'ghelijcken' 'gheseyt' 'dwelck' 'stick'
 'spaengiaerts' 'sgraven' 'daeromme' 'tghemeente' 'moghelic' 'anderssins'
 'ghelijcke' 'moghen' 'wesende' 'dierghelijcke' 'sticken' 'gheen'
 'westcant' 'pacienten' 'es' 'ghoet' 'sommighe' 'commen' 'ic']";23. Religion and churches;4;835
24;"['spangers' 'faendelen' 'uuijren' 'denselfden' 'burghers' 'ghescooten'
 'gescooten' 'haerlem' 'diewelcke' 'sparendam' 'ock' 'zijnder' 'snachs'
 'uuijt' 'orangen' 'soudaten' 'scooten' 'sceepen' 'walen' 'janspoort'
 'soldaten' 'victalie' 'alcmaer' 'twelck' 'scriven' 'beverwijck' 'duijtse'
 'stats' 'uut' 'mochten' 'daerdoer' 'geusen' 'scansen' 'terstont'
 'ingecomen' 'comende' 'vaendelen' 'zoe' 'daernae' 'capiteijnen'
 'blockhuijs' 'roers' 'burgemeesters' 'knechten' 'voerts' 'coe' 'volck'
 'alzoe' 'dieselfde' 'sulxs']";24. War with the Spanish;2;832
25;"['gealierde' 'brusselen' 'reidts' 'continuerden' 'cronijke' 'enghelschen'
 'continuerde' 'koninckx' 'vivers' 'troepen' 'bequam' 'vranckerijck'
 'legher' 'platsen' 'canten' 'sulckx' 'enghelsche' 'vijanden' 'briven'
 'bagasie' 'sauden' 'verstont' 'belegh' 'pruijsen' 'vlanderen' 'doort'
 'leghers' 'enghelant' 'garnisoen' 'waghens' 'beleghert' 'lanckx'
 'vreughden' 'gevolgh' 'oock' 'alsoo' 'ostende' 'besigh' 'pretendent'
 'linien' 'cronijcke' 'batalie' 'verovert' 'franschen' 'ettelijcke'
 'volck' 'saude' 'fransche' 'quamp' 'forten']";25. War and international politics;8;828
26;"['sag' 'hetgene' 'onslivrouw' 'synde' 'recto' 'republieq' 'besonderlyk'
 'toon' 'kerck' 'doods' 'aenstonds' 'wirden' 'savel' 'opstaen'
 'achtervolgt' 'aensien' 'merckt' 'genootsaekt' 'authaer' 'livers' 'syn'
 'wird' 'getransporteert' 'gudula' 'opsigte' 'welckers' 'vranckryk'
 'straffe' 'verschynen' 'troeppen' 'gewesene' 'schynen' 'onderstaen'
 'borgers' 'gevonnist' 'opstaende' 'pampier' 'oogen' 'veroorsaekt'
 'aengeplackt' 'bystant' 'spot' 'alswanneer' 'gehaelt' 'teweten' 'gestelt'
 'sacrificie' 'huysen' 'ontrend' 'herberge']";26. Iconoclasm;4;819
27;"['levendich' 'staeck' 'gehangen' 'onthalst' 'verbrant' 'merckt'
 'gehanghen' 'gevanghen' 'naeckt' 'herdoopers' 'welck' 'heymelyck'
 'gebrocht' 'galge' 'tantwerpen' 'gebrant' 'scherprechter' 'lodron' 'vuyt'
 'geseth' 'hals' 'genaempt' 'verwesen' 'ramoer' 'galgen' 'stadthuys'
 'droncken' 'prochiaen' 'schavot' 'gesedt' 'ysere' 'merct' 'gevanckenisse'
 'seyde' 'gehaelt' 'snachts' 'predicaren' 'geusen' 'gedoot' 'stuck'
 'ierst' 'synde' 'beul' 'hoochduytsche' 'galghe' 'gebonden' 'lichaem'
 'meysken' 'lichamen' 'terstont']";27. Execution;15;790
28;"['erfscheeders' 'adi' 'voorhoofde' 'voorseide' 'voorseiden' 'proprietaris'
 'neffens' 'erfve' 'visiteren' 'cheins' 'voorseit' 'odemaer' 'gheswooren'
 'onderschreven' 'bijlegh' 'bijlech' 'ghevel' 'tobias' 'visiteeren'
 'werck' 'ghecommitteert' 'saude' 'sauden' 'ghecommitteerde' 'volghens'
 'depost' 'midtsgaeders' 'weesaert' 'huijsekens' 'ghijnghen' 'aude'
 'bordesschen' 'haerlieder' 'danneels' 'vischmarct' 'besichtighen'
 'maecken' 'huijseken' 'gheordonneert' 'ghelijck' 'ande' 'ghebueren'
 'straetien' 'rechte' 'nicolais' 'visitacije' 'connen' 'ghevels'
 'overwaele' 'voornomden']";28. Property;5;781
29;"['duur' 'ld' 'goedkoop' 'dalend' 'koejen' 'rijzend' 'zoort' 'aardappelen'
 'kaas' 'duurder' 'cents' 'daardoor' 'goed' 'hooi' 'boekweit' 'goedkoper'
 'varkens' 'melk' 'vaak' 'weinig' 'eigen' 'erwten' 'longziekte'
 'aardappels' 'enz' 'bijzonder' 'buitenlanden' 'klei' 'biggen' 'vooral'
 'staan' 'deugd' 'maar' 'vroeger' 'kalven' 'duurte' 'prijzen' 'gaat'
 'krijgen' 'muizen' 'vee' 'oorzaak' 'thans' 'gort' 'week' 'gemaak' 'guld'
 'klagen' 'verkocht' 'stuks']";29. Food prices;6;768
