topic;words;themes;category;primitives
227;"['onthalst' 'licham' 'schavot' 'lichaem' 'staeck' 'scherprechter' 'aft'
 'hals' 'gehangen' 'schavodt' 'levendich' 'beul' 'tormenten' 'ijseren'
 'galge' 'rat' 'hooft' 'henne' 'hooffden' 'stuck' 'kiste' 'gesneden'
 'gesedt' 'handt' 'verwesen' 'marck' 'swert' 'rock' 'naeckt' 'sittende'
 'gebonden' 'vinck' 'gevanckenisse' 'onthooft' 'worde' 'maestrecht'
 'gegeesselt' 'lichaemen' 'rebel' 'genaempt' 'buijck' 'uuijt' 'bijl'
 'jeder' 'court' 'apart' 'lansmans' 'geset' 'cop' 'lichamen']";227. Executions and corporal punishment;15;151
228;"['voorjaer' 'naedat' 'afgebroocken' 'deselven' 'steenen' 'niuwen' 'maandt'
 'houten' 'bolwerck' 'grondt' 'deesen' 'houte' 'alckmaer' 'beplant'
 'geleydt' 'beginnende' 'and' 'geleegen' 'wal' 'muur' 'saturdag'
 'dubbelde' 'cingel' 'leggende' 'streckende' 'overtoom' 'vest' 'poort'
 'tevooren' 'westzijde' 'geplant' 'niuw' 'gemaeckt' 'brug' 'steene'
 'gedeelten' 'geset' 'daeraen' 'kuijl' 'diep' 'gestaen' 'wallen' 'oude'
 'molen' 'steen' 'schiedamse' 'breecken' 'gebouw' 'nevens' 'booven']";228. Urban renewal and construction projects;5;151
229;"['artic' 'perzoonen' 'vroedschappen' 'verkiezen' 'purmerende' 'regeringe'
 'vroedschaps' 'perzonen' 'stemmen' 'verkoren' 'prezident' 'octrooij'
 'verpligt' 'perzoon' 'voorsz' 'stem' 'tegenwoordige' 'vroedschap'
 'articul' 'burgereij' 'dezelven' 'regeeringe' 'ampten' 'colom' 'voortaen'
 'burgermeesteren' 'gekoren' 'burgemeesteren' 'wezen' 'behoren'
 'meesteren' 'vacature' 'neck' 'gesteld' 'bedieningen' 'mogen' 'verzoek'
 'verzogt' 'dewelke' 'regenten' 'goedgevonden' 'zoodanige' 'verklaren'
 'aengesteld' 'zaeken' 'deszelfs' 'handvesten' 'verklaeren' 'bedieninge'
 'dubbeld']";229. Administrative elections and appointments;16;151
230;"['contagieuse' 'zieckte' 'sieckte' 'droefheijt' 'beliefven' 'voorseijde'
 'connen' 'daeghelicx' 'daeraf' 'draeghen' 'quaede' 'grootelicx'
 'oversulcx' 'dewelcke' 'ghelijck' 'godt' 'daegelicx' 'caude'
 'ghesontheijt' 'wesen' 'gheordonneert' 'soomen' 'daghelicx' 'ghemeente'
 'perijckel' 'noodt' 'macharius' 'gheweest' 'sonderlijnghe' 'ghemerckt'
 'eijghen' 'waermede' 'eenighe' 'brijngen' 'neersticheijt' 'peste'
 'gheraecken' 'commen' 'soo' 'vuijt' 'daermede' 'alsoo' 'remedieren'
 'oock' 'sulck' 'onderhauden' 'gonne' 'wierter' 'voorseijt' 'ghesien']";230. Infectious disease and prevention;11;150
231;"['vijand' 'collega' 'kogels' 'bommen' 'fransen' 'kogel' 'vraagde'
 'verhaalde' 'edog' 'moed' 'ogenblik' 'gaan' 'belegering' 'ik' 'slaap'
 'gaat' 'hooghijd' 'vond' 'maar' 'laat' 'deed' 'kreeg' 'morgenstond'
 'aanstonds' 'bom' 'daan' 'uijtregt' 'had' 'soldaat' 'nooijt' 'derwaards'
 'verzekerd' 'springen' 'zulk' 'agtermiddag' 'heb' 'batterij' 'kruijt'
 'ingenieur' 'vlogen' 'plundering' 'zodanig' 'waar' 'omtrend' 'zag' 'geef'
 'menigmaal' 'eijndelijk' 'zaak' 'ging']";231. Siege and military experiences;2;149
232;"['vrydom' 'sullen' 'lasten' 'thol' 'vryheden' 'conditie' 'vry' 'recht'
 'staet' 'majesteyt' 'saecken' 'acten' 'goederen' 'renten' 'betaelen'
 'verklaert' 'aengaende' 'wesen' 'aennemen' 'rechten' 'hertogh' 'rechters'
 'landen' 'besworen' 'verleent' 'pacificatie' 'eygenaers' 'provincien'
 'penningen' 'keyser' 'raede' 'gene' 'sal' 'onderhouden' 'qualiteyt'
 'gebruycken' 'begrepen' 'voorseyde' 'verstaende' 'manieren' 'syne'
 'datmen' 'brabant' 'gemeyne' 'profyte' 'statuten' 'tyde'
 'koopmanschappen' 'constitutien' 'geordonneert']";232. Legal and political rights and privileges;3;148
233;"['zaan' 'schuyte' 'vaaren' 'heen' 'zaandam' 'kon' 'begon' 'kwaamen'
 'schuijten' 'paarden' 'vroor' 'laag' 'gereeden' 'vragt' 'maakte' 'toen'
 'buijksloot' 'raakte' 'markt' 'had' 'na' 'zodat' 'paart' 'schuijt'
 'sterk' 'maar' 'paard' 'ijs' 'naar' 'waardoor' 'wormerveer' 'hard'
 'schuiten' 'geld' 'werd' 'echter' 'slee' 'moest' 'gehaald' 'yaar'
 'paarde' 'gaan' 'tijd' 'varen' 'sleeden' 'gevrooren' 'raakten' 'gegaan'
 'tusse' 'zweep']";233. Water transportation and winter conditions;1;147
234;"['kauter' 'verlichting' 'regentie' 'maetschappy' 'gelegenheyd'
 'gelegendheyd' 'bezonderlyk' 'luyster' 'verlicht' 'magten' 'voornaemste'
 'overheden' 'kathedrale' 'bywezen' 'huyzen' 'plechtigheyd' 'musicq'
 'beyaerd' 'feest' 'bereyd' 'gezongen' 'verjaerdag' 'gevierd' 'vreugde'
 'anderdags' 'verscheyde' 'genood' 'bezondere' 'geluyd' 'bezettinge'
 'algemeyne' 'middagmael' 'bezonderste' 'vreugd' 'geconstitueerde'
 'plechtige' 'autoriteyten' 'muziek' 'bemerkte' 'opregte' 'vrydag'
 'pryzen' 'uytmuntende' 'stadhuys' 'zyne' 'morgend' 'borgerwacht' 'stoet'
 'triumph' 'plegtige']";234. Cultural events and festivities;10;146
235;"['loting' 'manschappen' 'militie' 'daartoe' 'verklaard' 'grietenij'
 'gelegenheid' 'eigene' 'zich' 'bestaan' 'maat' 'bestuur' 'zaak' 'aantal'
 'eigen' 'echter' 'gebruik' 'kunnen' 'bekend' 'wapenhandel' 'bestemming'
 'allerlei' 'zwol' 'geschikt' 'einde' 'besluit' 'daarvan' 'ingezetenen'
 'naderhand' 'toen' 'bereikt' 'staat' 'maar' 'stand' 'aanschrijving'
 'zoodanige' 'opgeroepen' 'jongelingen' 'niemand' 'bepaalde' 'thans'
 'ontvangen' 'betrekking' 'aannemen' 'uit' 'had' 'schutterij' 'gedaan'
 'waartoe' 'soldaat']";235. Military service;2;145
236;"['daagh' 'donderdagh' 'waght' 'fransen' 'ruiters' 'fransse' 'burgers'
 'naarden' 'woensdagh' 'wagt' 'dogh' 'franssen' 'uitgetrokken' 'andre'
 'groeningen' 'woort' 'smorgens' 'na' 'nb' 'hetselve' 'geweer' 'wierde'
 'hoocheyd' 'naght' 'stouppa' 'kreeg' 'franse' 'kruit' 'daan'
 'geretireert' 'burgerije' 'gebraght' 'gegaan' 'gravenhage' 'waarop' 'hr'
 'uuren' 'notificatie' 'vermits' 'gemarcheert' 'placcaat' 'gaande' 'post'
 'militie' 'waar' 'ondertussen' 'gedaan' 'gaan' 'avonts' 'nagts']";236. Civil guards and actions against the French;2;143
237;"['admiraliteid' 'noorderquartier' 'westvriesland' 'westfriesland'
 'gecommitteerde' 'raden' 'friesland' 'noorder' 'admiraliteyt' 'mog'
 'raad' 'gecommitt' 'admiraliteijt' 'rekenkamer' 'lands' 'admiraliteit'
 'staaten' 'repartitie' 'raaden' 'derzelver' 'meden' 'enkhuisen'
 'denzelve' 'holland' 'hunner' 'sessie' 'cessie' 'alkmaar' 'aanschrijving'
 'ed' 'geplaatst' 'voorsz' 'haare' 'opgemelde' 'moog' 'staat' 'ingang'
 'gecomm' 'regeering' 'staande' 'buiten' 'rekeningen' 'weezen' 'voorgevel'
 'aan' 'enkhuijsen' 'welke' 'gemaakt' 'zeeland' 'kerkmeesteren']";237. Admiralties and maritime affairs;16;143
238;"['classis' 'vroedschap' 'comm' 'aengesteld' 'vermits' 'sessie' 'dinsdag'
 'vergadering' 'hoogheid' 'gedane' 'eenparig' 'admiraliteyt' 'heren'
 'dispositie' 'versogt' 'beurt' 'communiceren' 'resolutie' 'goedvinden'
 'denselve' 'geresolveert' 'gedeputeerden' 'vragen' 'gecomm'
 'geproponeert' 'ingevalle' 'hoocheyd' 'raad' 'vroedschaps' 'commissie'
 'electie' 'nominatie' 'reekening' 'gecommitteerd' 'yder' 'ed'
 'schriftelijke' 'sodanig' 'vriendschap' 'antwoord' 'nader' 'burgemr'
 'aangesteld' 'gevraagt' 'burgemeesteren' 'conform' 'magistraat'
 'meerderheyd' 'cleef' 'derhalven']";238. Meeting and resolution of the vroedschap and admiralty;3;142
239;"['pastor' 'wesel' 'seminarist' 'petrus' 'joannes' 'aenveerd' 'idem' 'jos'
 'onderpastor' 'franc' 'em' 'heule' 'cortryk' 'rousselaere' 'franciscus'
 'parys' 'pastoor' 'aertsbisschop' 'overleden' 'peeters' 'eerw' 'martinus'
 'student' 'jac' 'bernardus' 'licentiaet' 'gebortigh' 'ludovicus'
 'gewezen' 'dem' 'antonius' 'welken' 'bap' 'josephus' 'priester'
 'predickheeren' 'carolus' 'diaken' 'bisdom' 'francies' 'canonik'
 'baptista' 'guillielmus' 'kerke' 'assenede' 'nicolaes' 'amandus'
 'publiekelyk' 'gent' 'cornelius']";239. Appointments and positions in the church;16;142
240;"['ryks' 'munten' 'munt' 'centimen' 'weirde' 'specien' 'gewigt'
 'souvereynen' 'weerde' 'goud' 'francs' 'kopere' 'geld' 'ducaten'
 'stuyvers' 'zilvere' 'dobbele' 'betaeld' 'departementen' 'halven'
 'bepaeld' 'zilver' 'stukken' 'gemunt' 'kassen' 'werken' 'betaelinge'
 'honderd' 'wissel' 'deniers' 'cent' 'gezeyd' 'ducatons' 'halve'
 'assignaten' 'bepaelt' 'titel' 'uytgedrukt' 'penningen' 'gelyken'
 'twintig' 'gouden' 'voorwerpen' 'gulden' 'volgens' 'omloop' 'zilveren'
 'schellingen' 'nationaele' 'guld']";240. Coins, money and payments;6;141
241;"['longziekte' 'stuks' 'eigen' 'akkrum' 'hofstra' 'verklaard' 'vroeger'
 'bestaan' 'belasting' 'vleer' 'eigene' 'zaak' 'oorzaak' 'naderhand'
 'bekend' 'maar' 'daarvoor' 'staat' 'provinciaal' 'laatste' 'week'
 'waarde' 'maand' 'daarvan' 'enz' 'betaald' 'koejen' 'geld' 'afgemaakt'
 'friesland' 'thans' 'buiten' 'kunnen' 'geeindigd' 'waarvan' 'eigenaar'
 'kalven' 'daartoe' 'zie' 'perzoon' 'bestuur' 'jaar' 'echter' 'holland'
 'gedood' 'waarheid' 'gld' 'kosten' 'reeds' 'gedaan']";241. Sickness and taxation in Friesland;6;140
242;"['extract' 'gedagteekent' 'brief' 'minister' 'vertaelinge' 'congres'
 'vereenigde' 'geschreven' 'vertaeling' 'gezonden' 'vrankryk' 'staeten'
 'hoogmogende' 'copye' 'vrankrijk' 'resolutien' 'belgische' 'toegezonden'
 'gedeputeerden' 'zyne' 'vyand' 'keyzerlyke' 'provincien' 'volgt'
 'onderteekent' 'commandant' 'vervat' 'generael' 'belgenland' 'geteekent'
 'staaten' 'alton' 'holland' 'kryghs' 'koning' 'departementen' 'by'
 'resolutie' 'behelzende' 'zig' 'myne' 'inhoud' 'keyzer' 'souvereyn'
 'besluyt' 'ministers' 'zaeken' 'argenteau' 'troupen' 'pruyssen']";242. Correspondence and resolutions between different states;8;140
243;"['gheconsenteert' 'ghevraeght' 'datmen' 'gheven' 'generaele' 'midts'
 'betaelen' 'ghonne' 'vergaederinghe' 'commen' 'connen' 'pennijnghen'
 'moghen' 'oversulcx' 'ghelt' 'consenteerden' 'oorsaecke' 'somme' 'wesen'
 'gheene' 'brussele' 'gheen' 'onderhoudt' 'eijghen' 'maer' 'gheaccordeert'
 'interest' 'eenighe' 'ghemeente' 'gheresolveert' 'duijsent' 'maecken'
 'oncosten' 'petitie' 'millioen' 'gheschieden' 'daermede' 'mochte'
 'ghenieten' 'conden' 'datter' 'eenich' 'ghestelt' 'penninghen'
 'wederomme' 'elcken' 'ghedaen' 'versoucken' 'sauden' 'alsoo']";243. Financial resolutions and budget;3;140
244;"['klok' 'gegoten' 'wegende' 'toorn' 'lb' 'klokken' 'weeght' 'tooren'
 'gewogen' 'kerk' 'hemonij' 'geplaatst' 'ghegoten' 'gieten' 'geplaast'
 'klock' 'pondt' 'spits' 'thoren' 'klokke' 'clocken' 'geluijd' 'orgel'
 'geluid' 'klocke' 'beijaert' 'kerkmeesteren' 'gewigt' 'ponden' 'toren'
 'geborsten' 'weecht' 'stadhuis' 'uuren' 'ijzere' 'clocke' 'vlag' 'waag'
 'speelen' 'stuiv' 'clock' 'vierkant' 'lantaarn' 'vernieuwd' 'loot'
 'gebouwd' 'geluyd' 'klocken' 'gemaakt' 'houten']";244. Tower bells;5;140
245;"['ghecondempneert' 'gheexecuteert' 'ghecondemneert' 'ghebannen' 'onthooft'
 'sentencie' 'justicie' 'schavodt' 'sententie' 'gherecht' 'gheexamineert'
 'sweerde' 'verwesen' 'ghestelt' 'gheweest' 'ghehanghen' 'ghebonden'
 'staeck' 'galghe' 'gheordonneert' 'causen' 'ghelijck' 'ghecommitteert'
 'ghebrocht' 'sgraven' 'viere' 'complicen' 'ghestraft' 'ghelijcke'
 'gheleijt' 'eijghen' 'daernaer' 'segghen' 'ghesien' 'mesdaet' 'ghevoert'
 'gheconfisquiert' 'ghebracht' 'ghewesen' 'sijnen' 'vanghenesse' 'werdene'
 'scherprechter' 'ghevonden' 'volghens' 'ghegeesselt' 'quaet' 'misdaet'
 'ghepuniert' 'ghedaen']";245. Executed punishments and sentences;15;138
246;"['vertaelinge' 'copye' 'vertaeling' 'alton' 'toegezonden' 'brief'
 'depeche' 'minister' 'onderteekent' 'volgt' 'geschreven' 'majesteyt'
 'keyzer' 'myne' 'argenteau' 'my' 'antwoort' 'verklaeringe' 'gedagteekent'
 'mynen' 'origineel' 'murraij' 'gy' 'antwoord' 'souvereyn' 'generael'
 'congres' 'keyzerinne' 'gezonden' 'laestleden' 'extract' 'aerts'
 'directelyk' 'luydende' 'uwen' 'daed' 'vrankryk' 'erkentenisse' 'syne'
 'pruyssen' 'vertoogen' 'aengeboden' 'maetregels' 'staeten' 'uytgegeven'
 'volgen' 'zult' 'dumourier' 'naem' 'uytstel']";246. Correspondence;8;138
247;"['uth' 'quemen' 'gereijst' 'tho' 'sick' 'desse' 'hefft' 'end' 'sich'
 'uuth' 'weren' 'myt' 'maij' 'wolden' 'und' 'wolde' 'embden' 'groenynghen'
 'offt' 'guet' 'stadtholder' 'fursten' 'drien' 'sijndt' 'zsuolle' 'briven'
 'to' 'solden' 'lagh' 'guede' 'swager' 'awonts' 'greven' 'doe' 'heft'
 'stath' 'synre' 'wyth' 'graeff' 'sie' 'decemb' 'dessen' 'raeth'
 'gescooten' 'royen' 'sanct' 'heren' 'geholden' 'septembr' 'mit']";247. Travel plans and political situation in different cities;14;137
248;"['dekens' 'natien' 'aenhooren' 'decreten' 'natie' 'fiscael' 'gevraeght'
 'gevraegt' 'raede' 'presenteren' 'commissarissen' 'borgemeester'
 'gecompareert' 'magistraet' 'vraege' 'stadthuys' 'examineren'
 'advocaeten' 'presentie' 'geroepen' 'voorgelesen' 'toegestaen' 'content'
 'gene' 'consent' 'vinden' 'swaerdekens' 'ambagten' 'vergaederen'
 'voorgehouden' 'vraegen' 'antwoorden' 'voorders' 'uytstel' 'staeten'
 'waer' 'negen' 'stellen' 'vergaedert' 'braband' 'gedeputeerde' 'jeder'
 'raetsheeren' 'prie' 'altemael' 'subsidien' 'gedaen' 'consenteren' 'raet'
 'vergaederinge']";248. Meeting of deans and deliberation on grants;7;137
249;"['traude' 'vrau' 'gheseijt' 'ghetraut' 'houwelick' 'vranckrijcke'
 'margriete' 'bourgoignen' 'dochter' 'baudewijn' 'loijs' 'co' 'philips'
 'huijsvrauwe' 'ghetrauwt' 'philippus' 'sone' 'coninghinne' 'wedue'
 'thierij' 'vlaendren' 'vrauw' 'autsten' 'ferdinandus' 'marie'
 'graefschaep' 'sijnen' 'bourgoigne' 'joanna' 'succederen' 'koninck'
 'henegauwe' 'robert' 'oostenrijck' 'coninck' 'vlaenderen' 'graef'
 'succedeerde' 'gravinne' 'forestier' 'hertoch' 'carole' 'regieringhe'
 'grave' 'guilliame' 'conijnck' 'caerle' 'gheregiert' 'jaere' 'anno']";249. Marriage of princes and succession of titles and territory;12;136
250;"['ducq' 'conincx' 'dalve' 'mansvelt' 'alve' 'vuyt' 'costelyck' 'lodron'
 'spaengnaerts' 'spaengnien' 'hoochduytsche' 'gecomen' 'voetknechten'
 'parma' 'vendelen' 'comen' 'tydinghe' 'oyck' 'ingecomen' 'synde' 'vyant'
 'aerschot' 'wesende' 'knechten' 'qualyck' 'spaensche' 'spaengaerden'
 'syde' 'uut' 'oraengnien' 'lodewyck' 'monss' 'middelborch' 'valencyn'
 'prinche' 'vyff' 'volck' 'hertooch' 'lueven' 'henegou' 'dalbe' 'conte'
 'vliese' 'tydt' 'bruyt' 'walen' 'geusen' 'spaenschen' 'bruessel' 'drye']";250. Military events and troop movements;2;135
251;"['verpondingen' 'verponding' 'huisen' 'eigenaars' 'betaalen' 'penning'
 'landerijen' 'geld' 'belasting' 'jaarlijks' 'obligatien' 'bedraagt'
 'gelden' 'lasten' 'koopers' 'betaald' 'penn' 'eigendom' 'kosten'
 'betaalt' 'penningen' 'bedroeg' 'gronden' 'omslag' 'huur' 'taxatie'
 'bedragende' 'gld' 'somma' 'buiten' 'lands' 'bedragen' 'onderhoud'
 'gebruiken' 'ingezetenen' 'gemeene' 'huizen' 'guld' 'echter' 'eigen'
 'behoeven' 'gebouwen' 'derzelver' 'betalen' 'daartoe' 'voorsz' 'renten'
 'goederen' 'haare' 'belastingen']";251. Taxes and payments for homeowners (verpondingen);16;135
252;"['gemet' 'tarw' 'erten' 'oegst' 'mee' 'gewas' 'gerst' 'sakken' 'zaat'
 'graan' 'sak' 'rogge' 'hoed' 'haver' 'gedolven' 'ongemeen' 'voorjaar'
 'markten' 'slegt' 'nauwlijks' 'zak' 'graanen' 'prijzen' 'hoet' 'gering'
 'schell' 'zaad' 'hoedt' 'schier' 'vrugt' 'oogst' 'ruim' 'landman'
 'verkogt' 'kogt' 'herfst' 'schellingen' 'schaars' 'granen' 'schraal'
 'markt' 'redelijk' 'offschoon' 'doorgaans' 'gl' 'weiden' 'gulden' 'koorn'
 'schaarsheid' 'tarwe']";252. Agriculture;6;134
253;"['interventie' 'fiscael' 'officie' 'processe' 'raede' 'laste' 'procureur'
 'conclusie' 'excessen' 'gene' 'gelet' 'persoon' 'verklaert' 'requeste'
 'directelyk' 'mitsgaeders' 'souverynen' 'zaeke' 'ordonneert' 'detentie'
 'voordere' 'pene' 'majesteyt' 'personele' 'informatien' 'voorders'
 'verklaeren' 'acten' 'vonnis' 'recht' 'partyen' 'ordonnerende'
 'misdaeden' 'uytstel' 'proces' 'justitie' 'criminele' 'tegenstaende'
 'ordonneren' 'wethouderen' 'suppliant' 'alnog' 'verbael' 'antwoorden'
 'aengaet' 'gecondemneert' 'laestleden' 'ingevalle' 'gevangenen' 'priveen']";253. Legal process;15;134
254;"['rogge' 'gulden' 'haver' 'stuijvers' 'sack' 'tarwe' 'advenant' 'gerste'
 'stuivers' 'garst' 'terwe' 'tarw' 'gerst' 'erten' 'sak' 'taruw'
 'blancken' 'goldt' 'pont' 'schellingen' 'rog' 'roggen' 'haever'
 'stuyvers' 'broot' 'golt' 'boonen' 'gl' 'stuijver' 'gelt' 'schell' 'pond'
 'schellijngen' 'vat' 'stuiver' 'guld' 'meuken' 'halven' 'schepel' 'last'
 'vercocht' 'prijs' 'booter' 'gulde' 'bodd' 'cocht' 'dierder' 'stuyver'
 'myten' 'zak']";254. Grain prices;6;133
255;"['vt' 'geparapheert' 'onderteekent' 'cachet' 'geteekent' 'cr' 'gedrukt'
 'zegel' 'rooden' 'actum' 'leeger' 'ordonnantie' 'argenteau' 'copye'
 'origineel' 'vertaelinge' 'geteeckent' 'papier' 'hertogdom' 'get'
 'copije' 'raeds' 'majesteyt' 'segel' 'geschreven' 'toegezonden'
 'getekent' 'onderstond' 'souverynen' 'ond' 'lager' 'decreet' 'gedruckt'
 'onderteeckent' 'ondert' 'dellafaille' 'stond' 'excellentie' 'myne'
 'vertaeling' 'uytgegeven' 'keyzer' 'geteekend' 'inhoud' 'volgt'
 'tegenwoordige' 'majesteyts' 'syne' 'raede' 'secret']";255. Official documents;8;133
256;"['collecte' 'inteekening' 'ingezetenen' 'bedroeg' 'onderhoud' 'gebruik'
 'gereformeerde' 'staat' 'gedaan' 'godsdienst' 'behoeftigen' 'aanvang'
 'daartoe' 'kerk' 'behoeve' 'haare' 'gemeentens' 'kerken' 'bestaan'
 'bekend' 'gld' 'zondags' 'gelegenheid' 'aanstaande' 'wijze' 'school'
 'echter' 'tijd' 'welke' 'thans' 'armen' 'voornaamste' 'stand' 'daarvan'
 'jaarlijks' 'bepaalde' 'aanzienlijke' 'deze' 'volgens' 'bededag' 'geld'
 'predikant' 'deeze' 'geschied' 'huizen' 'bezittingen' 'weezen'
 'predikatie' 'naderhand' 'verleend']";256. Charity;16;132
257;"['vogel' 'afgeschoten' 'gilde' 'prysen' 'schietspel' 'geschoten' 'silvere'
 'schieten' 'vogels' 'gilden' 'prys' 'lovensche' 'weerdigh' 'scheut' 'bal'
 'vereert' 'opgestelt' 'schermers' 'merkt' 'silveren' 'savel' 'bestaende'
 'brusselsche' 'herberge' 'savonts' 'avonts' 'pot' 'weerdig' 'zilvere'
 'afschieten' 'prijsen' 'thoren' 'musquetten' 'oppersten' 'intre' 'cruijs'
 'gulde' 'vergulde' 'bayaert' 'lier' 'gildens' 'treijn' 'caffe'
 'getroffen' 'ballen' 'instrumenten' 'waervoor' 'beschonken' 'geduerig'
 'liefhebbers']";257. Shooting competition;10;132
258;"['vreughden' 'vreughde' 'luijen' 'ondert' 'klocken' 'ent' 'cronijke'
 'gealierde' 'salvos' 'koninckx' 'brusselen' 'blijtschap' 'laudamus'
 'reidts' 'deum' 'vranckerijck' 'canon' 'ghesonghen' 'lanckx' 'salvo'
 'wirt' 'vlanderen' 'losbranden' 'gantschen' 'onsteken' 'continuerde'
 'souverijn' 'gevolgh' 'pecktonnen' 'menighte' 'triomphe' 'savonts'
 'vieren' 'spelen' 'ront' 'volckx' 'oock' 'innemen' 'blijdtschap'
 'gantsche' 'koninck' 'gesongen' 'vieringe' 'singhen' 'geillumineert'
 'quamp' 'doort' 'flambeuwen' 'ditte' 'veroveren']";258. Celebrations;10;130
259;"['neeringen' 'ambagten' 'generaelijk' 'swaerdekens' 'dekens' 'corporatien'
 'eerstdaegs' 'vergaedert' 'wijkmeesters' 'toegesonden' 'gemakt'
 'patrouillien' 'lichtinge' 'besluijten' 'voorrechten' 'besonder'
 'borgerlijcke' 'diesaengaende' 'provencie' 'hiervooren' 'zoogenaemde'
 'provencien' 'goon' 'gedaene' 'degone' 'konnen' 'nogtans' 'iver' 'elk'
 'verhandelt' 'toegestaen' 'zullen' 'dringende' 'maetregelen' 'supposten'
 'gewichtige' 'gevolgentlijk' 'noodig' 'uli' 'zal' 'vraege' 'patrioticq'
 'gemelt' 'vanwegens' 'hoogmogende' 'besluijt' 'nopende' 'voorgelesen'
 'geaffixeert' 'menige']";259. Governance and organization;3;130
260;"['water' 'duym' 'doorbraak' 'vloed' 'kade' 'dijk' 'dijken' 'gat' 'gaten'
 'doorgebroken' 'leck' 'duymen' 'diep' 'overstroomd' 'zeewater' 'plaatsen'
 'hoogte' 'heen' 'gevaar' 'waters' 'lengte' 'voeten' 'weerd' 'dyk'
 'hooger' 'watervloed' 'brak' 'dwars' 'zeedijk' 'leggende' 'laag'
 'zeedijken' 'dikte' 'voet' 'werk' 'leggen' 'breed' 'gestopt' 'palen'
 'waardoor' 'polders' 'dammen' 'duimen' 'duim' 'lagen' 'liep' 'rivier'
 'diepte' 'vloeden' 'beschadigd']";260. Floods and water management;11;130
261;"['overleed' 'jaaren' 'ouderdom' 'oud' 'maanden' 'omtrend' 'zederd'
 'plaats' 'naam' 'genaamd' 'jaar' 'had' 'toen' 'oudste' 'waar' 'laatste'
 'haar' 'haaren' 'raad' 'aangenomen' 'aangesteld' 'alwaar' 'zoon'
 'jongste' 'deze' 'wierd' 'aldaar' 'overleeden' 'staaten' 'aan' 'tijd'
 'haare' 'negentig' 'uit' 'werd' 'na' 'kreeg' 'hield' 'verzogt' 'frederik'
 'tevens' 'edelachtbare' 'graaf' 'eindelyk' 'naar' 'uuren' 'gebooren'
 'generaal' 'bekend' 'stad']";261. People and age;9;130
262;"['comeet' 'staart' 'sterre' 'vertoonde' 'graden' 'sterren' 'steert'
 'gezien' 'zag' 'westen' 'bleek' 'verdween' 'verdweenen' 'lang' 'maan'
 'toen' 'sagh' 'duurde' 'zon' 'gedaante' 'oosten' 'waargenomen' 'stond'
 'gingh' 'maar' 'noorden' 'vertoonden' 'noordwesten' 'gezigt' 'circa'
 'gehele' 'eindelijk' 'buiten' 'ongeveer' 'beweging' 'oog' 'staande'
 'zuijt' 'heen' 'nagts' 'ruim' 'lijn' 'gesien' 'lugt' 'tijd' 'uuren'
 'rooklucht' 'laatste' 'europa' 'noort']";262. Astronomy and celestial phenomena;1;129
263;"['gezongen' 'deum' 'gesongen' 'laudamus' 'geviert' 'misse' 'kerke'
 'solemnele' 'lof' 'gecelebreert' 'verjaerdag' 'kathedrale' 'solemneele'
 'singen' 'bywezen' 'gevierd' 'jubile' 'plegtige' 'geluyd' 'feest'
 'hooghmisse' 'dankzegginge' 'zingen' 'salvos' 'magten' 'plechtige'
 'hoogmisse' 'solemneel' 'plechtigheyd' 'vieren' 'beyaerd' 'autaers'
 'klokken' 'savonds' 'kerk' 'autoriteyten' 'klocken' 'bavo' 'ueren'
 'luyster' 'plegtigheyd' 'canon' 'geeyndigt' 'vreugde' 'kerken'
 'gelegendheyd' 'uytmuntende' 'geboorte' 'klokke' 'troon']";263. Religious celebrations and church activities;10;128
264;"['alckmaer' 'naedat' 'deesen' 'and' 'hetwelck' 'geleydt' 'deselven'
 'daernae' 'gesproocken' 'maandt' 'alcmaer' 'geexecuteert' 'paerden'
 'niuwen' 'egmondt' 'oorsaeck' 'uuijren' 'gevanckenisse' 'verscheyden'
 'dirck' 'raadt' 'diewelcke' 'mogelijck' 'graeff' 'afgebroocken' 'buyten'
 'weynig' 'daerenboven' 'schermer' 'geleegen' 'haer' 'kerck' 'sulxs'
 'soodat' 'dijckgraeff' 'gepasseert' 'paert' 'gemaeckt' 'daeraen'
 'genaemt' 'deese' 'ingesetenen' 'derwarts' 'lijff' 'saturdag' 'saeck'
 'souden' 'verscheydene' 'orangen' 'gecoomen']";264. Local events;7;128
265;"['wolden' 'wyth' 'zsuolle' 'desse' 'solden' 'groenynghen' 'raeth' 'quemen'
 'weren' 'stath' 'wolde' 'myt' 'sie' 'greven' 'guet' 'hoer' 'uuth' 'hie'
 'woe' 'solde' 'yn' 'hoep' 'to' 'greve' 'hefft' 'voele' 'dessen' 'toeghen'
 'hartich' 'onssen' 'gelderschen' 'wyllen' 'alse' 'guede' 'onsse' 'mytten'
 'doe' 'hyer' 'sede' 'cloester' 'hyr' 'fursten' 'ghewest' 'hoeren' 'dyt'
 'gueden' 'ruteren' 'synt' 'furst' 'holden']";265. Areas and dominions;14;128
